,회사,순위,제목,가수
0,Genie,1,"
Ditto
","
NewJeans
"
1,Genie,2,"
OMG
","
NewJeans
"
2,Genie,3,"
Hype Boy
","
NewJeans
"
3,Genie,4,"
VIBE (feat. Jimin of BTS)
","
태양
"
4,Genie,5,"
Attention
","
NewJeans
"
5,Genie,6,"
사건의 지평선
","
윤하(Younha/ユンナ)
"
6,Genie,7,"
ANTIFRAGILE
","
LE SSERAFIM (르세라핌)
"
7,Genie,8,"
Candy
","
NCT DREAM
"
8,Genie,9,"
After LIKE
","
IVE (아이브)
"
9,Genie,10,"
LOVE DIVE
","
IVE (아이브)
"
10,Genie,11,"
NOT SORRY (Feat. pH-1) (Prod. by Slom)
","
이영지
"
11,Genie,12,"
WHEN I MOVE
","
카라(Kara)
"
12,Genie,13,"
Cookie
","
NewJeans
"
13,Genie,14,"
I Don’t Think That I Like Her
","
Charlie Puth(찰리 푸스)
"
14,Genie,15,"
Nxde
","
(여자)아이들
"
15,Genie,16,"
오르트구름
","
윤하(Younha/ユンナ)
"
16,Genie,17,"
Unholy
","

Sam Smith(샘 스미스)


Sam Smith(샘 스미스)
 "
17,Genie,18,"
Shut Down
","
BLACKPINK
"
18,Genie,19,"
FEARLESS
","
LE SSERAFIM (르세라핌)
"
19,Genie,20,"
새삥 (Prod. ZICO) (Feat. 호미들)
","
지코
"
20,Genie,21,"
Made You Look
","
Meghan Trainor(메간 트레이너)
"
21,Genie,22,"
Pink Venom
","
BLACKPINK
"
22,Genie,23,"
ELEVEN
","
IVE (아이브)
"
23,Genie,24,"
That's Hilarious
","
Charlie Puth(찰리 푸스)
"
24,Genie,25,"
TOMBOY
","
(여자)아이들
"
25,Genie,26,"
Off My Face
","
Justin Bieber(저스틴 비버)
"
26,Genie,27,"
Monologue
","
테이(Tei)
"
27,Genie,28,"
STAY
","

The Kid LAROI


The Kid LAROI
 "
28,Genie,29,"
도깨비불 (Illusion)
","
aespa
"
29,Genie,30,"
너의 모든 순간
","
성시경
"
30,Genie,31,"
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound)
","

정국


정국
 "
31,Genie,32,"
사랑인가 봐
","
멜로망스(MeloMance)
"
32,Genie,33,"
Say I Love You
","
우디(Woody)
"
33,Genie,34,"
자격지심 (Feat. ZICO)
","
BE'O (비오)
"
34,Genie,35,"
그때 그 순간 그대로 (그그그)
","
WSG워너비 (가야G)
"
35,Genie,36,"
드라마
","
아이유(IU)
"
36,Genie,37,"
Anti-Hero
","
Taylor Swift(테일러 스위프트)
"
37,Genie,38,"
그댄 행복에 살텐데 (2022)
","
최유리
"
38,Genie,39,"
Left and Right (Feat. Jung Kook of BTS)
","

Charlie Puth(찰리 푸스)


Charlie Puth(찰리 푸스)
 "
39,Genie,40,"
그라데이션
","
10CM
"
40,Genie,41,"
취중고백
","
김민석 (멜로망스)
"
41,Genie,42,"
우린 그렇게 사랑해서
","

강민경


강민경
 "
42,Genie,43,"
Rush Hour (Feat. j-hope of BTS)
","
Crush
"
43,Genie,44,"
다정히 내 이름을 부르면
","

경서예지


경서예지
 "
44,Genie,45,"
Dangerously
","
Charlie Puth(찰리 푸스)
"
45,Genie,46,"
LOVE me
","
BE'O (비오)
"
46,Genie,47,"
해요 (2022)
","
#안녕
"
47,Genie,48,"
주저하는 연인들을 위해
","
잔나비
"
48,Genie,49,"
Hurt
","
NewJeans
"
49,Genie,50,"
INVU
","
태연 (TAEYEON)
"
50,Genie,51,"
한 페이지가 될 수 있게
","
DAY6 (데이식스)
"
51,Genie,52,"
사랑은 늘 도망가
","
임영웅
"
52,Genie,53,"
When I Get Old
","

Christopher(크리스토퍼)


Christopher(크리스토퍼)
 "
53,Genie,54,"
모든 날, 모든 순간 (Every day, Every Moment)
","
폴킴(Paul Kim)
"
54,Genie,55,"
Snowman
","
Sia(시아)
"
55,Genie,56,"
정이라고 하자 (Feat. 10CM)
","
BIG Naughty (서동현)
"
56,Genie,57,"
strawberry moon
","
아이유(IU)
"
57,Genie,58,"
나의 X에게
","
경서
"
58,Genie,59,"
내가 아니라도
","
주호
"
59,Genie,60,"
STEP
","
카라(Kara)
"
60,Genie,61,"
그대를 알고
","
송하예
"
61,Genie,62,"
딱 10CM만
","

10CM


10CM
 "
62,Genie,63,"
보고싶었어
","
WSG워너비(4FIRE)
"
63,Genie,64,"
Impurities
","
LE SSERAFIM (르세라핌)
"
64,Genie,65,"
Feel My Rhythm
","
Red Velvet (레드벨벳)
"
65,Genie,66,"
마지막 사랑
","
신예영
"
66,Genie,67,"
Next Level
","
aespa
"
67,Genie,68,"
봄여름가을겨울 (Still Life)
","
BIGBANG (빅뱅)
"
68,Genie,69,"
Cheshire
","
ITZY (있지)
"
69,Genie,70,"
팡파레
","
다비치
"
70,Genie,71,"
마이웨이 (MY WAY) (Prod. R.Tee)
","

저스디스(JUSTHIS)


저스디스(JUSTHIS)
 "
71,Genie,72,"
FOREVER 1
","
소녀시대 (GIRLS' GENERATION)
"
72,Genie,73,"
DICE
","
NMIXX
"
73,Genie,74,"
I Ain't Worried
","
OneRepublic(원리퍼블릭)
"
74,Genie,75,"
아픈 나를 (Prod. By 나얼)
","
성시경
"
75,Genie,76,"
Talk that Talk
","
TWICE (트와이스)
"
76,Genie,77,"
Love story
","
볼빨간사춘기
"
77,Genie,78,"
잘가요
","
주호
"
78,Genie,79,"
Beautiful Liar
","
몬스타엑스(Monsta X)
"
79,Genie,80,"
눈이 오잖아(Feat.헤이즈)
","
이무진
"
80,Genie,81,"
Love War (Feat. BE‘O)
","
YENA (최예나)
"
81,Genie,82,"
떠나보낼 준비해 둘걸 그랬어
","
임한별
"
82,Genie,83,"
GHOST TOWN
","
Benson Boone
"
83,Genie,84,"
Birthday
","
Red Velvet (레드벨벳)
"
84,Genie,85,"
내 기쁨은 너가 벤틀리를 끄는 거야
","
김승민
"
85,Genie,86,"
가슴으로 운다
","
김연지
"
86,Genie,87,"
SNEAKERS
","
ITZY (있지)
"
87,Genie,88,"
신호등
","
이무진
"
88,Genie,89,"
위하여 (We Higher) (Prod. GroovyRoom)
","

그루비룸 (GroovyRoom)


그루비룸 (GroovyRoom)
 "
89,Genie,90,"
진심이었던 사람만 바보가 돼
","
권진아
"
90,Genie,91,"
눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)
","
던말릭 (DON MALIK)
"
91,Genie,92,"
That That (prod. & feat. SUGA of BTS)
","
싸이 (PSY)
"
92,Genie,93,"
Stamp On It
","
GOT the beat
"
93,Genie,94,"
어른
","
Sondia
"
94,Genie,95,"
사랑해도 될까요
","
양다일
"
95,Genie,96,"
WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)
","
이영지
"
96,Genie,97,"
LAW (Prod. Czaer)
","

윤미래


윤미래
 "
97,Genie,98,"
Celebrity
","
아이유(IU)
"
98,Genie,99,"
미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)
","
허성현 (Huh)
"
99,Genie,100,"
니 번호가 뜨는 일
","
이예준
"
